relative_unix	hashed_host_path_query	response_size	time_firstbyte
3132	-809104164	202648	1.76E-4
3132	399991460	21826	2.17E-4
3132	1225099231	7904	2.6E-4
3132	1147556673	11522	2.24E-4
3132	1732123032	20591	1.89E-4
3132	22589417	69883	1.97E-4
3132	-80230482	9143	2.45E-4
3132	1645417363	11310	1.97E-4
3132	-1211473192	16450	1.50259
3132	-1985573678	124109	2.28E-4
3132	-215220658	37207	2.51E-4
3132	-1662027179	37387	1.91E-4
3132	487755764	58650	1.93E-4
3132	1858470515	61622	3.42E-4
3132	32394947	24114	1.71E-4
3132	294338212	102477	1.92E-4
3132	1006020668	54711	1.8E-4
3132	867829728	76404	1.82E-4
3132	126451681	16435	1.76E-4
3132	-218985493	27643	3.33E-4
3132	993117742	7789	1.87E-4
3132	873758407	61642	0.660176
3132	45370267	46465	1.81E-4
3132	1654275913	12183	2.95E-4
3132	-439771765	31209	2.8E-4
3132	1152643365	26020	2.54E-4
3132	417664707	20810	0.328604
3132	1565949921	13810	2.04E-4
3132	1511759508	11009	2.75E-4
3132	1580326536	18775	1.83E-4
3132	1538944424	16368	1.92E-4
3132	-899614097	577145	2.01E-4
3132	1379079251	61212	1.93E-4
3132	359777537	23242	2.26E-4
3132	1116538545	21286	2.21E-4
3132	116639142	39050	2.1E-4
3132	-681105488	25920	1.76E-4
3132	645918148	29277	3.16E-4
3132	1548994711	9590	2.0E-4
3132	981417637	18986	0.340726
3132	-397814430	83688	1.82E-4
3132	1614483628	89645	1.74E-4
3132	-1291713027	11161	1.77E-4
3132	1531446064	35672	2.33E-4
3132	927846516	136551	2.25E-4
3132	-1974133725	211830	2.03E-4
3132	2095227810	47841	2.06E-4
3132	-1639123873	91051	1.93E-4
3132	1926991484	11089	2.11E-4
3132	1792775776	24658	1.79E-4
3133	-1992482030	27077	2.26E-4
3133	129246409	7028	0.190009
3133	1067696707	13470	1.84E-4
3133	883156860	32789	2.54E-4
3133	1066603980	12405	1.83E-4
3133	-917837355	15593	2.24E-4
3133	398288133	72774	0.364159
3133	2065399307	34489	2.04E-4
3133	1025505854	79128	5.174335
3133	379941922	15600	0.594968
3133	1632210300	27264	0.205587
3133	1509570139	44326	1.9E-4
3133	43299608	38116	2.14E-4
3133	-47620561	11924	1.85E-4
3133	1852052864	57610	1.77E-4
3133	1066603980	12405	0.013324
3133	-857530645	15313	2.52E-4
3133	484241954	62848	1.78E-4
3133	-2087106545	10298	0.190868
3133	762218189	66711	1.84E-4
3133	248834799	49151	1.89E-4
3133	778133263	22039	1.79E-4
3133	-1013521575	17197	1.94E-4
3133	-597259243	7733	1.76E-4
3133	-835706380	44325	1.75E-4
3133	1006473929	16329	2.43E-4
3133	-198779372	30102	1.85E-4
3133	126315224	33200	1.88E-4
3133	-1738489588	60967	2.04E-4
3133	656272067	108512	2.06E-4
3133	1005544923	13226	2.73E-4
3133	1846302128	17297	0.200471
3133	-611922892	17388	1.85E-4
3133	-1358803785	10736	1.9E-4
3133	-227977219	16695	0.268657
3133	872572483	37260	1.8E-4
3133	-1794234287	50157	1.83E-4
3133	857573217	66697	2.0E-4
3133	-1350848499	20818	1.99E-4
3133	449519859	12241	0.192044
3133	-2004523026	68494	2.68E-4
3133	-2010034445	7297	0.264358
3133	796924258	68171	1.99E-4
3133	-1098039876	29593	2.74E-4
3133	760345820	35894	1.84E-4
3133	1956327229	10183	1.8E-4
3133	497067121	20650	1.76E-4
3133	-1180157005	50538	2.24E-4
3133	-167618265	78639	1.93E-4
3133	-2081611354	76327	0.246707
3133	1099112563	20959	1.95E-4
3133	1567096846	11909	0.009939
3133	1120869052	18862	1.76E-4
3133	-177741958	40513	2.08E-4
3133	-2103971929	43969	2.41E-4
3133	-259599175	29985	1.75E-4
3133	-1350848499	89089	1.7E-4
3133	751704884	18975	2.01E-4
3133	1805042997	31409	2.26E-4
3133	1009565747	8184	4.56E-4
3133	-799372125	12434	3.31E-4
3133	-1355592820	58372	1.95E-4
3133	-2091194398	30447	1.95E-4
3133	-862811864	22342	1.75E-4
3133	-515182864	12863	2.64E-4
3133	-589002443	54398	0.240775
3133	-674304383	10723	3.15E-4
3133	-1392436714	34487	2.4E-4
3133	-1444750151	11789	2.73E-4
3133	993117742	7789	1.66E-4
3133	1291665839	15188	0.279293
